ID,O que você entende por discriminação e preconceito?
#P72,"Avoid, belittle, or devalue another person because of their individuality, whatever it may be."
#P73,Precisely to exclude these people
#P74,"When people are harmed and belittled simply for being who they are. For example, Black people being physically and/or verbally attacked just because of their skin color."
#P75,a
#P76,exclusion
#P77,I understand that these are very bad attitudes and stem from ignorance.
#P78,"Intolerance and hostile, ignorant behavior toward people from different minority groups."
#P79,.
#P80,Judgment based on something/some characteristic that the person does not choose
#P81,"Prejudice is a negative judgment about a person or group based on characteristics such as race, gender, age, sexual orientation, religion, or disability. Discrimination is when a person or group is treated unfairly or unequally because of these prejudices."
#P82,..
#P83,Barriers based on stereotypes that blindly hinder development and innovation.
#P84,"Treat someone differently in a negative way because of religion, race, gender, or beliefs."
#P85,Make an individual’s personal choices unfeasible
#P86,Judgment or differential treatment of people from minority groups
#P87,.
#P88,"Difficulty in some way for people who are not considered ""standard."""
#P89,I understand that it is something very bad and that it wears employees out.
#P90,.
#P91,"Judge someone as incapable or unfit solely because of factors such as race, gender, sexual orientation, religion, neurodivergence, disability, or social class."
#P92,Harm or treat people differently based on physical characteristics.
#P93,Exclusion of people from social interaction because of characteristics that make them different
#P94,Exclusion actions
#P95,I understand that discrimination and prejudice are acts or actions that seek to diminish people because of some diversity factor.
#P96,Equalize without understanding
#P97,"Rejection of a person for belonging to a group, even involuntarily, such as race"
#P98,"Exclude, attack, harm, etc., people who are part of minority groups."
#P99,"No access to the labor market, discrimination, and systematic exclusion"
#P100,Segregation of people based on their conditions
#P101,"Deny opinions, ideas, proposals, and positions based on non-technical factors, such as sex, ethnicity, or religion."
#P102,Treat a person differently or badly because of some attribute of theirs that is unknown.
#P103,Exclusion.
#P104,Any deliberate or unintended action that harms an individual for belonging (or not) to a certain group.
#P105,?
#P106,The act of excluding or harming someone in some way because of something that is not under their control.
#P107,The exclusion of people based on an innate characteristic unrelated to the purpose.
#P108,.
#P109,The act of preventing or making it difficult for an individual or a group to achieve a certain goal solely because of an individual factor.
#P110,Attack on a person based on a mental or physical characteristic.
#P111,like it
#P112,"disfavor people based on their race, gender, or sexual orientation. for example, a quota policy that favors Black people is discrimination and prejudice against poor white people. another example is the creation of panels to determine how Black/mixed-race a person is in order to fit into quota policies."
#P113,Prejudice is a preconceived judgment about someone. Discrimination is the action that arises from prejudice (unjust actions stemming from prejudice).
#P114,"Not exclude, ignore, or discredit the ideas and opinions of these people."
#P115,"Harm, disregard, or even offend someone because of personal characteristics inherent to the individual in question."
#P116,"Prejudice is a preconceived judgment based on stereotypes or generalizations about a group or individual. Discrimination is the act of treating someone unfairly or unequally based on characteristics such as race, gender, or religion."
#P117,Lack of acceptance of minorities
#P118,"Any type of action that disadvantages someone with characteristics different from the ""common"" status"
#P119,Basically the definition from the penal code.
#P120,"Treat a person negatively for any reason, whether race, belief, physical appearance, etc…"
#P121,Something that should always be punished exemplarily
#P122,.
#P123,Not respecting a person for being different from you in any aspect
#P124,"It is the act of disregarding marginalized groups, either explicitly or by “leaving the person aside,” giving fewer opportunities and treating the person merely as a trophy for LinkedIn photos."
#P125,"Belittle the ability of a specific group of people because of a characteristic they have no control over, such as gender, ethnicity, social conditions, sexual orientation, etc."
#P126,"Hire people not based on their technical ability for the role, discriminating based on non-technical characteristics."
#P127,When people are judged not by their actions and behaviors but by preformed ideas about the groups they belong to.
#P128,Exclusion or differential treatment based on a characteristic of the person
#P129,Lack of character
#P130,The opposite of the previous answer
#P131,"Rejection based on cultures, races, and opinions different from one’s own"
#P132,Harm or limit the hiring or advancement of an employee due to identity and geographic factors
#P133,"Differential (and negative) treatment of someone for having some inherent characteristic that, in reality, has no practical consequence on their moral or intellectual values"
#P134,"Lack of respect, ageism…"
#P135,Treat someone differently for belonging to a minority group
#P136,"prejudice: opinion or idea, usually negative, about a group and applied without considering individuality
discrimination: unfair or unreasonable distinction"
#P137,A
#P138,A person who has a certain type of resistance to different people
#P139,"Treat people worse because of color, race, ethnicity, religion, sexuality, etc."
#P140,Opportunity only for a few people
#P141,"Judge and define a person negatively based on their physical or biological characteristics, age, or sexual orientation."
#P142,Negative attitudes or behaviors based on stereotypes of a group
#P143,Discrimination and prejudice is the act of distancing people from a certain background from your daily life.
#P144,discrimination and prejudice
#P145,Not including different people in all aspects because of some personal characteristic.
#P146,"A person not being hired for a position because of their gender, sexuality, skin color, disability, neurodivergence, and similar factors."
#P147,"Distinction and differential treatment of people because of their gender, religion, skin color, etc."
#P148,"Any type of exclusion of a person based on race, sex, or physical characteristics"
#P149,"Exclusion or preference based on race, color, or sexual orientation"
#P150,"Any action against the inclusion of more diverse groups, and the failure to recognize the need to adapt processes and systems to make this inclusion possible"
#P151,"The opposite of the previous answer covers much of what would be said here, plus what is defined by law."
#P152,"You reduce someone’s ability purely based on irrelevant factors, such as sexual orientation and skin color."
#P153,"Harm someone based on their ethnicity, place of birth, age, and sex"
#P154,"Discrimination is the violence that occurs in daily life, and prejudice is the negative opinion formed beforehand."
#P155,Judge that someone is or has something based on a stereotype of what you see in them.
#P156,"It is the lack of knowledge, as well as empathy, regarding groups of people who are diverse in relation to the observer."
#P157,"Exclusion, offenses, or premature judgment of one or more people based on races, ethnicities, sexual orientations, religions, and other particularities."
#P158,"When a person is excluded or prevented from something within the company because of their race, gender, etc."
#P159,"Deny opportunities based on color, disability, or sexuality"
#P160,n/a
#P161,"Prejudice is ignoring what I see in an individual and judging and treating them according to predetermined and wrong ideas.
Discrimination is the act, actively acting to harm another individual based on one’s own prejudice."
#P162,Segregation or limitations on people who possess virtues or characteristics that conflict with (ignorant) beliefs of those who commit such acts.
#P163,Any act that diminishes or embarrasses someone by virtue of any personal characteristic.
#P164,"Have negative attitudes toward someone based on some particularity of theirs that displeases you, such as skin color, origin, sex, sexual orientation, etc."
#P165,Belittle a person because of some characteristic
#P166,"Prejudice is forming a negative opinion about an individual, or group of individuals, based on factors such as race, religion, political spectrum, etc. Discrimination is when we act on that prejudice, generating actions such as jokes, exclusions, attacks, etc."
#P167,"Discredit, judge, and exclude people because of their color, ethnicity, sexual orientation, financial status, or any factor that is not relevant to the goal being pursued"
#P168,"When a person is the target of slander or defamation, or is harmed in some way because of one of the aforementioned characteristics."
#P169,"Prejudice is judging before knowing, discrimination is acting based on that judgment."
#P170,"Judge a person’s ability based on a non-technical attribute. Not accept interacting with a person because of their race, sexual orientation, or a special need."
#P171,Any type of offense or aggression directed at an individual based on racial aspects or aspects that make the individual feel inferior
#P172,Any oppressive attitude or rule that uses some social category as its basis.
#P173,Disrespect toward others
#P174,"Prejudice is a preconceived judgment, without real knowledge. Discrimination is acting based on these judgments, excluding or devaluing someone."
#P175,Harm someone solely based on the person’s characteristics
#P176,"Decision-making and behavior based exclusively on physical or personal characteristics (e.g., sexual identity)"
#P177,When you have different attitudes from your norm when interacting with someone in a group that you discriminate against
#P178,Personal or opportunity reduction
#P179,S
#P180,.
#P181,"Exclude, diminish, ignore, harass, or commit other types of violence against people who do not possess characteristics considered majority in society (heterosexuality, white skin, elitism, etc.)"
#P182,“Block” an individual because of a certain choice.
#P183,Prevention from performing something due to characteristics that do not impede the execution of the work
#P184,"Discrimination: elimination of the different, homogenize. Prejudice: pre-formed concepts about something or someone, culturally and educationally rooted."
#P185,Disregard people because of some characteristic.
#P186,Anything that goes against personal characteristics.
#P187,Bullying
#P188,Different treatment based on people’s characteristics
#P189,"Negative attitudes based on differences, causing exclusion, discrimination, etc."
#P190,"Negative differential treatment based on gender, race, religion, or other characteristics of the individual."
#P191,Political discussion whose goal is to divide people.
#P192,"The opposite of diversity and inclusion: behaviors that harm or exclude certain groups, reinforcing inequality"
#P193,Disqualify coworkers based on a characteristic that is not related to the person’s character
#P194,"Discrimination is the voluntary and conscious act of devaluing, ignoring, or diminishing a person because of inherent characteristics. Prejudice is ignoring and/or having preconceived thoughts about a person’s (in)abilities regarding something and/or ideas of unreal behaviors because of inherent characteristics."
#P195,Ways to deprioritize valuing people for their abilities in favor of any other factors.
#P196,"Exclude a group based on a physical, emotional, or psychological characteristic."
#P197,It is offering different (and worse) treatment to someone because of their physical or behavioral characteristics
#P198,Unfounded aggression
#P199,Any form of negative act toward a group/race.
#P200,"Treat a professional differently for reasons unrelated to work, such as sex, social class, or ethnicity."
#P201,"discrimination and prejudice are judgments made about specific characteristics such as skin tone, origin, social class, etc."
#P202,NA
#P203,"Use certain physical or psychological characteristics or conditions of an individual in an attempt to belittle, diminish, or even abuse them."
#P204,Negatively or pejoratively differentiated treatment given to minorities
#P205,"Disregard viewpoints based solely on the person contributing, instead of analyzing the logical points of the contribution."
#P206,Actions designed to prevent the advancement/development/visibility of a certain person solely because of a factor that does not depend on their choice.
#P207,"Discrimination is filtering people, classifying what is considered suitable and unsuitable for certain tasks, positions, regions, or groups, and disqualifying those who are not considered “appropriate.”

Prejudice is a form of discrimination, but it also emphasizes insult, lack of respect, and exclusion."
#P208,Use non-technical attributes to harm another person
#P209,Not respecting people because of their color/appearance or sexual orientation.
#P210,Hate crime
#P211,Judgment of character or professionalism based on unrelated characteristics.
#P212,"Discrimination is the disrespectful social attitude toward another person’s absolute characteristics, stemming from pre-existing prejudice. Prejudice, on the other hand, is the formalization of a disrespectful idea about an individual or group and is passed down hierarchically (within the family, workplace, or circle of friends) to the person who exercises it."
#P213,"Humiliations, insults, and lack of opportunities"
#P214,Lack of respect
#P215,People who treat different people poorly
#P216,"Actions that cause discomfort, conflict, or embarrassment to minority groups, whether through physical or emotional violence"
#P217,Discrimination: exclusion or diminishment of a person because of some physical or cultural trait.
#P218,"Any act or speech based on race, color, ethnicity, sexual orientation, age, gender, etc."
#P219,Curtail the opportunity based on an inherent characteristic of the person.
#P220,Exclude minorities
